Account,date,daily PnL per trader,Avg Trade Size,Num of Trades,win rate,Long Ratio,Short Ratio,classification,value
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-12-17,2244.04603,401.2685714285714,7,0.4317948717948718,0.0,1.0,Extreme Greed,87
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-12-21,27649.187167,372.85966292134833,89,0.4317948717948718,0.0,1.0,Greed,73
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-01-11,0.0,227.26757575757574,33,0.4317948717948718,1.0,0.0,Greed,69
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-01-12,0.0,833.3333333333334,12,0.4317948717948718,1.0,0.0,Greed,62
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-01-13,0.0,543.5169565217391,23,0.4317948717948718,1.0,0.0,Greed,61
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-01-19,0.0,291.6675,12,0.4317948717948718,1.0,0.0,Extreme Greed,77
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-01-20,0.0,1666.64,3,0.4317948717948718,1.0,0.0,Extreme Greed,76
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-01-23,0.0,141.0,3,0.4317948717948718,1.0,0.0,Extreme Greed,75
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-01-27,0.0,1272.7318181818182,11,0.4317948717948718,1.0,0.0,Greed,71
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-01-30,1643.602279,1242.675,8,0.4317948717948718,0.0,1.0,Greed,70
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-01,0.0,1987.6240000000003,5,0.4317948717948718,1.0,0.0,Greed,68
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-14,844.8168900000001,254.39857142857142,21,0.4317948717948718,0.0,1.0,Neutral,48
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-15,0.0,485.4918181818182,11,0.4317948717948718,1.0,0.0,Neutral,50
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-03-26,413.304033,875.7783333333333,18,0.4317948717948718,0.8888888888888888,0.1111111111111111,Neutral,47
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-03-27,154.257092,550.3630434782609,23,0.4317948717948718,0.34782608695652173,0.6521739130434783,Fear,40
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-03-28,0.0,227.225,12,0.4317948717948718,1.0,0.0,Fear,44
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-03-29,0.0,221.41285714285712,7,0.4317948717948718,1.0,0.0,Fear,26
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-03-30,3.492534,276.01,6,0.4317948717948718,0.6666666666666666,0.3333333333333333,Fear,32
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-03-31,0.0,149.99,1,0.4317948717948718,1.0,0.0,Fear,34
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-01,132.71954399999998,1954.3107142857145,14,0.4317948717948718,0.2857142857142857,0.7142857142857143,Fear,34
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-02,234.497751,1120.655,34,0.4317948717948718,0.4411764705882353,0.5588235294117647,Fear,44
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-03,298.031364,922.9384999999999,20,0.4317948717948718,0.95,0.05,Fear,25
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-04,392.35488599999996,626.296,60,0.4317948717948718,0.6,0.4,Fear,28
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-05,41.479757,1026.9088235294118,17,0.4317948717948718,0.7058823529411765,0.29411764705882354,Fear,30
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-06,207.98348199999998,1384.9813636363635,22,0.4317948717948718,0.9090909090909091,0.09090909090909091,Fear,34
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-07,232.000726,990.5305882352941,51,0.4317948717948718,0.6274509803921569,0.37254901960784315,Extreme Fear,23
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-08,409.437344,1307.165,32,0.4317948717948718,0.375,0.625,Extreme Fear,24
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-09,1395.820542,902.617,60,0.4317948717948718,0.21666666666666667,0.7833333333333333,Extreme Fear,18
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-10,463.813132,1599.0455555555554,18,0.4317948717948718,0.7777777777777778,0.2222222222222222,Fear,39
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-11,56.216535,2161.054,5,0.4317948717948718,0.0,1.0,Fear,25
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-12,-89.1781,1094.5383333333332,12,0.4317948717948718,0.16666666666666666,0.8333333333333334,Fear,43
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-13,0.0,999.44,1,0.4317948717948718,0.0,1.0,Neutral,45
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-14,73.7414,2214.596,5,0.4317948717948718,0.4,0.6,Fear,31
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-15,0.0,1124.95125,8,0.4317948717948718,0.0,1.0,Fear,38
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-16,70.94968,494.38,4,0.4317948717948718,1.0,0.0,Fear,29
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-19,0.0,414.2778823529412,85,0.4317948717948718,0.0,1.0,Fear,32
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-21,0.0,1166.0616666666667,6,0.4317948717948718,0.0,1.0,Fear,39
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-22,0.0,999.832,10,0.4317948717948718,0.0,1.0,Neutral,47
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-23,0.0,527.7555555555556,18,0.4317948717948718,0.0,1.0,Greed,72
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-24,168.69881,441.69899999999996,20,0.4317948717948718,0.65,0.35,Greed,63
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-25,0.0,535.6742857142857,7,0.4317948717948718,0.0,1.0,Greed,60
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-26,43.903059999999996,1815.0585714285714,7,0.4317948717948718,0.5714285714285714,0.42857142857142855,Greed,65
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-12-17,0.0,18481.63244897959,98,0.34591194968553457,0.0,1.0,Extreme Greed,87
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-12-22,327545.999992,14265.865288461539,104,0.34591194968553457,1.0,0.0,Greed,73
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-01-04,0.0,11569.857730496453,141,0.34591194968553457,0.0,1.0,Greed,73
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-01-08,122050.866984,31443.71166666667,48,0.34591194968553457,1.0,0.0,Greed,70
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-28,0.0,1457.8809090909092,77,0.34591194968553457,0.24675324675324675,0.7532467532467533,Extreme Fear,16
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-03-08,0.0,2119.866666666667,15,0.34591194968553457,0.6666666666666666,0.3333333333333333,Fear,28
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-03-09,0.0,1365.6884444444443,90,0.34591194968553457,0.8222222222222222,0.17777777777777778,Fear,27
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-04-08,0.0,2481.818051948052,77,0.34591194968553457,0.4805194805194805,0.5194805194805194,Extreme Fear,24
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-04-09,33980.0,8095.553154929577,355,0.34591194968553457,0.12112676056338029,0.8788732394366198,Extreme Fear,18
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-04-10,0.0,12530.401249999999,8,0.34591194968553457,0.0,1.0,Fear,39
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-04-11,0.0,51734.1,3,0.34591194968553457,0.0,1.0,Fear,25
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-04-16,-14838.4,4603.773962264151,53,0.34591194968553457,1.0,0.0,Fear,29
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-04-18,-42923.271911,8851.193692307692,65,0.34591194968553457,0.23076923076923078,0.7692307692307693,Fear,33
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-04-19,0.0,1287.706923076923,39,0.34591194968553457,0.0,1.0,Fear,32
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-04-20,-458.08035,1333.6473684210525,38,0.34591194968553457,1.0,0.0,Fear,37
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-04-22,0.0,1341.7722784810126,79,0.34591194968553457,1.0,0.0,Neutral,47
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-04-23,10148.4512,1633.4878443113773,167,0.34591194968553457,0.46706586826347307,0.5329341317365269,Greed,72
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-04-24,-3500.0,878.3780180180181,111,0.34591194968553457,0.0,1.0,Greed,63
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-04-25,-2650.0,2502.2713636363637,22,0.34591194968553457,0.0,1.0,Greed,60
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-09-20,0.0,7075.4425,4,0.3062937062937063,0.0,1.0,Neutral,54
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-09-24,0.0,6113.57,1,0.3062937062937063,0.0,1.0,Neutral,54
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-09-25,0.0,917.6733333333333,3,0.3062937062937063,0.0,1.0,Greed,59
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-09-26,0.0,6654.302000000001,5,0.3062937062937063,0.0,1.0,Neutral,50
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-09-27,0.0,567.4939130434783,46,0.3062937062937063,0.0,1.0,Greed,61
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-09-28,0.0,7299.8025,4,0.3062937062937063,0.0,1.0,Greed,64
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-09-30,0.0,389.4682291666666,96,0.3062937062937063,0.0,1.0,Greed,61
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-25,8692.0,4659.2,5,0.3062937062937063,1.0,0.0,Greed,72
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-11-29,573.585288,573.59,1,0.3062937062937063,0.0,1.0,Extreme Greed,78
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-12-12,0.0,1397.385294117647,17,0.3062937062937063,0.0,1.0,Extreme Greed,83
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-12-13,0.0,2951.8799999999997,30,0.3062937062937063,0.0,1.0,Extreme Greed,76
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-12-14,0.0,2042.2541860465114,43,0.3062937062937063,0.0,1.0,Extreme Greed,83
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-12-15,0.0,2812.5,8,0.3062937062937063,0.0,1.0,Extreme Greed,80
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-12-16,0.0,1561.8182926829268,41,0.3062937062937063,0.0,1.0,Extreme Greed,83
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-12-17,0.0,3150.0064285714284,14,0.3062937062937063,0.0,1.0,Extreme Greed,87
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-12-18,0.0,3206.451290322581,31,0.3062937062937063,0.0,1.0,Extreme Greed,81
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-12-19,0.0,24880.0,1,0.3062937062937063,0.0,1.0,Extreme Greed,75
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-12-20,0.0,4121.142857142857,28,0.3062937062937063,0.0,1.0,Greed,74
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-12-23,0.0,3422.0648571428574,35,0.3062937062937063,0.0,1.0,Greed,70
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-12-25,0.0,28677.0,1,0.3062937062937063,0.0,1.0,Greed,73
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-12-27,0.0,9450.001666666667,6,0.3062937062937063,0.0,1.0,Greed,74
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-12-28,0.0,2406.462941176471,34,0.3062937062937063,0.0,1.0,Greed,72
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-12-29,0.0,5006.2699999999995,14,0.3062937062937063,0.0,1.0,Greed,73
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-12-30,0.0,2392.239333333333,15,0.3062937062937063,0.0,1.0,Greed,65
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-01-02,0.0,8894.193333333335,3,0.3062937062937063,0.0,1.0,Greed,70
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-01-03,0.0,6065.75,6,0.3062937062937063,0.0,1.0,Greed,74
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-01-04,0.0,2128.95,1,0.3062937062937063,0.0,1.0,Greed,73
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-01-05,0.0,2863.6875,8,0.3062937062937063,0.0,1.0,Greed,72
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-01-06,0.0,2910.8484000000003,25,0.3062937062937063,0.0,1.0,Extreme Greed,76
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-01-09,10647.977,38563.98,1,0.3062937062937063,1.0,0.0,Greed,69
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-01-24,0.0,2258.9,2,0.3062937062937063,1.0,0.0,Extreme Greed,75
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-01-25,0.0,3981.5714285714284,14,0.3062937062937063,1.0,0.0,Extreme Greed,75
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-01-26,262.95,1671.9961818181819,55,0.3062937062937063,0.2909090909090909,0.7090909090909091,Greed,73
